hisamitsu,"Hisamitsu Pharmaceutical Co.,Inc.",generic
hitachi,"Hitachi, Ltd.",generic
hiv,"Uniregistry, Corp.",generic
hk,Hong Kong Internet Registration Corporation Ltd.,country-code
hkt,PCCW-HKT DataCom Services Limited,generic
hm,HM Domain Registry,country-code
hn,Red de Desarrollo Sostenible Honduras,country-code
hockey,"Binky Moon, LLC",generic
holdings,"Binky Moon, LLC",generic
holiday,"Binky Moon, LLC",generic
homedepot,"Home Depot Product Authority, LLC",generic
homegoods,"The TJX Companies, Inc.",generic
homes,"DERHomes, LLC",generic
homesense,"The TJX Companies, Inc.",generic
honda,"Honda Motor Co., Ltd.",generic
honeywell,Honeywell GTLD LLC,generic
horse,Top Level Domain Holdings Limited,generic
hospital,"Binky Moon, LLC",generic
host,DotHost Inc.,generic
hosting,"Uniregistry, Corp.",generic
hot,"Amazon Registry Services, Inc.",generic
hoteles,Travel Reservations SRL,generic
hotels,Booking.com B.V.,generic
hotmail,Microsoft Corporation,generic
house,"Binky Moon, LLC",generic
how,Charleston Road Registry Inc.,generic
hr,CARNet - Croatian Academic and Research Network,country-code
hsbc,HSBC Global Services (UK) Limited,generic
ht,Consortium FDS/RDDH,country-code
htc,Not assigned,generic
hu,Council of Hungarian Internet Providers (CHIP),country-code
hughes,Hughes Satellite Systems Corporation,generic
hyatt,"Hyatt GTLD, L.L.C.",generic
hyundai,Hyundai Motor Company,generic
ibm,International Business Machines Corporation,generic
icbc,Industrial and Commercial Bank of China Limited,generic
ice,"IntercontinentalExchange, Inc.",generic
icu,Shortdot SA,generic
id,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI),country-code
ie,"University College Dublin
Computing Services
Computer Centre",country-code
ieee,IEEE Global LLC,generic
ifm,ifm electronic gmbh,generic
iinet,Retired,generic
ikano,Ikano S.A.,generic
il,Internet Society of Israel,country-code
im,Isle of Man Government,country-code
imamat,Fondation Aga Khan (Aga Khan Foundation),generic
imdb,"Amazon Registry Services, Inc.",generic
immo,"Binky Moon, LLC",generic
immobilien,United TLD Holdco Ltd.,generic
in,National Internet Exchange of India,country-code
industries,"Binky Moon, LLC",generic
infiniti,"NISSAN MOTOR CO., LTD.",generic
info,Afilias Limited,generic
ing,Charleston Road Registry Inc.,generic
ink,"Top Level Design, LLC",generic
institute,"Binky Moon, LLC",generic
insurance,fTLD Registry Services LLC,generic
insure,"Binky Moon, LLC",generic
int,Internet Assigned Numbers Authority,sponsored
intel,Intel Corporation,generic
international,"Binky Moon, LLC",generic
intuit,"Intuit Administrative Services, Inc.",generic
investments,"Binky Moon, LLC",generic
io,"IO Top Level Domain Registry
Cable and Wireless",country-code
ipiranga,Ipiranga Produtos de Petroleo S.A.,generic
iq,Communications and Media Commission (CMC),country-code
ir,Institute for Research in Fundamental Sciences,country-code
irish,"Binky Moon, LLC",generic
is,ISNIC - Internet Iceland ltd.,country-code
iselect,iSelect Ltd,generic
ismaili,Fondation Aga Khan (Aga Khan Foundation),generic
ist,Istanbul Metropolitan Municipality,generic
istanbul,Istanbul Metropolitan Municipality,generic
it,IIT - CNR,country-code
itau,Itau Unibanco Holding S.A.,generic
itv,ITV Services Limited,generic
iveco,CNH Industrial N.V.,generic
iwc,Richemont DNS Inc.,generic
jaguar,Jaguar Land Rover Ltd,generic
java,Oracle Corporation,generic
jcb,"JCB Co., Ltd.",generic
jcp,"JCP Media, Inc.",generic
je,Island Networks (Jersey) Ltd.,country-code
jeep,FCA US LLC.,generic
jetzt,"Binky Moon, LLC",generic
jewelry,"Binky Moon, LLC",generic
jio,"Affinity Names, Inc.",generic
jlc,Richemont DNS Inc.,generic
jll,Jones Lang LaSalle Incorporated,generic
jm,University of West Indies,country-code
jmp,Matrix IP LLC,generic
jnj,"Johnson & Johnson Services, Inc.",generic
jo,National Information Technology Center (NITC),country-code
jobs,Employ Media LLC,sponsored
joburg,ZA Central Registry NPC trading as ZA Central Registry,generic
jot,"Amazon Registry Services, Inc.",generic
joy,"Amazon Registry Services, Inc.",generic
jp,"Japan Registry Services Co., Ltd.",country-code
